Identification,File Type,File Name,Transcription,Comment,
Student 001,.mp3,Student 001.mp3,"Ms. Palmer is a 62-year-old female presenting to the ER with chest palpitations and syncope. The symptoms have been gradually getting worse over the past two months and have increased dramatically over the past three days. They happen during any activity. The patient presented with an eight-pound weight gain, swollen legs, syncope, palpitations, coughing, and is currently sleeping in a chair. Her previous medical problems are hypertension-controlled and pulmonary sarcoidosis. Her current medications are prednisone and lisinopril with no known drug allergies. She does not use tobacco, illicit drugs, or alcohol. She walks on a daily basis, drink drinks one cup of coffee per day, and is an elementary school teacher. Her mother died from a from sudden death at age 40 and father from a myocardial infarction at 59. Her physical exam showed jugular venous distention, wheezing, an S4 murmur, lower extremity edema. Labs and imaging support the diagnosis of sarcoidosis that has infiltrated the heart muscle. Our plan is to admit to the hospital where she will follow up with a cardiologist and radiologist for a PET scan. We will up her dose of prednisone to 60 mg, add furosemide and amiodarone. She will continue on her current lisinopril. Thank you.",,
Student 002,.mp3,Student 002.mp3,"Hi Dr. Rawlins, I just saw Ms. Palmer in room 6 and she is a 62 year old female who presents to the emergency department with a 2 month history of worsening dyspnea, fatigue, palpitations, and near syncope. She stated that her symptoms improved with rest um however they were brought on by most activity including her daily tasks. She denies any chest pain but also reported that um some orthopnea causing her to sleep in her chair at night. She stated that she was seen in a family practice office 3 days ago where they did a 2D echo, EKG, labs, and a chest x-ray . She stated that she was instructed by her family practitioner to come to the ER due to her worsening symptoms. Her active medical conditions include hypertension for which she takes lisinopril 10 milligrams and pulmonary sarcoidosis for which she takes prednisone 10 milligrams once daily. She reported that both medical conditions have been well controlled with her medications. She denied any allergies and reported that she had a cardiac cath about a year ago due to an abnormal EKG but there was no coronary occlusion. She denied any prior hospitalizations and reported that she is fully immunized. She reports that her mom died suddenly at the age of 40 and her father died of a myocardial infarction at age 59. She stated she has a good support system and lives at home with her spouse. And she stated she is sexually active with her spouse and that the relationship is monogamous. She stated she has a balanced diet and used to walk daily with friends until her recent symptoms um have prevented her from continuing to do so. She denies any tobacco use, alcohol use, or illicit drug use. And reported that she drinks about 1 cup of coffee in the morning and works as a 3rd grade school teacher. My physical exam showed bibasilar rales and wheezing on lung auscultation, heart sounds were regular with a systolic murmur and S4 heart sound and no carotid bruits. Her PMI was normal but she had JVD bilaterally and um I noted some pedal edema. Her lower extremity pulses were normal and her calves were of equal size and color and nontender to palpation and she had a negative Homan's sign. Her chest was nontender to palpation I also evaluated anterior Chapmans points, posterior TART changes, and her um thoracic spine and I had no osteopathic findings to report. Her chest Xray uh demonstrated mediastinal fullness with diffuse pulmonary infiltrates and um a normal heart size. Her Echo showed a restrictive cardiomyopathy with an ejection fraction of 55%. Her EKG revealed a normal sinus rhythm with nonsustained ventricular tachycardia and her labs revealed a normal troponin but an elevated BNP at 4000. Based on my findings I believe she has sarcoidosis cardiomyopathy NYHA class 3 and I explained that I believe the pulmonary sarcoidosis has begun to infiltrate her heart as well. I recommended that we admit her to the telemetry unit and consider consult with interventional cardiology for the placement of an AICD and consult with cardiology for a possible FDG-PET scan. I also recommended that we keep her on the lisinopril um increase her prednisone dose to 60 milligrams daily, um add furosemide 40 milligrams IV and also um an amiodarone drip of 150 milligrams um and that is all thank you. ",,
Student 003,.mp3,Student 003.mp3,"Presented um today with shortness of breath and um fatigue. She is 62 years old and presented to the emergency room. She said rest makes her pain or her shortness of breath better um and also sitting up in her chair and exercise makes it significantly worse. So Ms. Palmer is a female and um her past medical history consists of diabetes, hypertension as well as hyperlipidemia. Um she's been experiencing these symptoms for about 6 months and went to her PCP about 3 days ago they sent her to us and now here she is. So her um medical history also includes diabetes not sure if I mentioned that. Um and I have my um notes in front of me. The patient has a history of a um bypass surgery um and got about 5 stents beginning placed the first one was placed 20 years ago the most recent one was placed a year ago and she was told she can no long receive that sort of treatment. Excuse me. She appeared well, um alert, however slightly fatigue and she didn't have any skin lacerations, or bruising um just fatigue shortness of breath were her chief complaints. She had no neurological signs. Her heart was beating fast she said some syncope and uh dyspnea and um better with lying down so um orthopnea and she had wheezing and rales when she came in. So the physical exam showed that she had jugular venous distention, as well as the wheezing the wheezing and the rales um she also had pedal edema and um even pulses. She said her mother had breast cancer and her father had Alzheimer's. She um is on a handful of medications. She’s on amiodarone, warfarin, clopidogrel, metoprolol, metoprolol-succinate. And um have had the history of the surgical procedure so the shunt. She has no allergies. Um and after all the diagnosis was done or all the um the physical exam was done uh we talked about our results together. Um I presented her EKG which showed a left bundle branch block so left ventricular hypertrophy but normal sinus rhythm. Her uh echocardiogram showed dilated cardiomyopathy and her xray showed cardiomegaly with pulmonary edema as well as her labs showed elevated troponin of 4 and her BNP of 4000. Um after this I uh originally had the differential of potential heart failure um maybe some musculoskeletal chest pain because she was in the best health to begin with. And um ischemic cardiomyopathy ischemic dilated cardiomyopathy and that is what it ended up being. Um so she was advised um to be admitted to the ICU and talk to an interventional cardiology who would get her set up with an AICD and a and um not place another stent but place another cardiac device. So she was being admitted on a low sodium diet with um absolutely full restriction to exercise. Um her nursing orders were strict IO, um daily weights taken, and DVT prophylaxis. Yeah moving ahead she’ll see all the specialists be in the hospital until she's feeling better um and we did shift her medications so she's only taking clopidogrel and warfarin and dobutamine now um and she was put on an insulin sliding scale when she was admitted because of her diabetes as well as given a bipap machine to help with her shortness of breath. The patient also has history of atrial fibrillation. The patient was um asked if they had medical insurance and they did they have pharmacy set up and they have a supportive home so they are in a good place moving forward and I'm hopeful that um they will be able to receive the care that they need and continue on their journey to find health.  ",4:57 couldn’t fully understand this sentence “So she was being admitted on a low sodium diet with um absolutely full restriction to exercise” ,
Student 004,.mp3,Student 004.mp3,"Mr. Leslie Pal Palmer who is a 62 year old male presents with 2 weeks of fatigue, shortness of breath, and palpitations. Patient also reports instances of feeling like he would pass out. He says that he is not short of breath at rest but that even with walking short distances he is short of breath. Um I think I would give him an NYHA score of class 3. He is able to lay flat and denies any recent illness. He has a history of hypertension and is on lisinopril. His family history includes um history of sudden death in his mother and an MI myocardial myocardial infarction in his father. Um he reports a year ago that he had a catheter cardiac catheterization and that was normal. He does not smoke, drink alcohol, or do illicit drugs. He is a school teacher. Review of systems were positive for fatigue, warm to the touch skin, palpitations, near syncope, wheezing and shortness of breath. No chest pain or ortho orthopnea. Um vitals were remarkable for hypotension at 80/50 and hypoxia at 85% on room air. Physical exam showed systolic murmur with S4 gallop. He had a PMI point of maximal impulse that was displaced laterally. Um lungs were clear to association. There was no calf tenderness, no lower extremity edema. Uh PT and DP pulses were full and equal bilaterally. Uh labs showed a troponin and BNP within normal limits. EKG showed left ventricular left ventricular hypertrophy and tall septal R waves. Echo showed thickened interventricular septum with an EF of 60%. Um patient should be admitted to telemetry due to diagnosis of hypertrophic cardio familial hypertrophic cardiomyopathy. Uh secondary diagnosis would be hypertension. Um I advised the patient that we should discontinue lisinopril and start on disopyramide. Consult was done with interventional cardiology for AICD placement and cardiothoracic surgeon for either alcohol ablation or  myectomy. Patient is in agreement with plan he was counseled on um the further plan and he was alerted of the cause of his symptoms. Thank you. ",,
Student 005,.mp3,Student 005.mp3,"Good morning. Ms. Palmer is a 60 year old 62 year old female presenting to us with shortness of breath. Patient states that they are physical physically active and exe exercise routinely. They started developing difficulty breathing when exercising. This encounter occurred prior to our visit several weeks ago and has had a gradual onset. Patient states that they feel short of breath when exercising and describes it as its isolated only to the chest, is aggravated when exercising and relieved by stopping and uh by stopping physical activity. Patient has a prior history of cardiac catheterization and currently presents to us with a previous history of hypertension. Patient states they do not have any known allergies. Patient follows a balanced diet does not consume alcohol, tobacco, or any illicit drugs. The patient drinks coffee in the mornings and um family history consist of the mother passing away suddenly uh without reason and father passing away from myocardial infarction at the age of 59. Ms. Palm Mrs. Palmer is fatigued reports pre syncope, palpitations, and wheezing and she is currently on lisinopril 10 uh milligrams once per day. Patient was alert and oriented. Physical exam found J uh jugular venous distention, regular rate for heart rate, wheezing and rales. Uh upon physical exam, calves was non tender but presents lower ex extremity edema. Imaging found cardiomegaly and via 2D ECHO demonstrates left ventricular asymmetry and hypertrophy with ejection fraction of 60%. EKG presents tall R waves in uh septal leads. Troponin and uh BNP are within normal limits. Completion of physical exam and interview led to suspected diagnosis of familial hypertrophic cardiomyopathy. Patient is classified new york heart association 2. Is to be sent to the telemetry unit under serious condition. [___] every 2 hours activity as tolerated. Nursing intervention consist of strict I and Os, O2 via cannula to maintain at 96%. Patient should be on DVT prophylaxis and patient can receive a regular diet. IV orders are KVO. We discussed the plan and is to discontinue lisinopril and hold it and administer disopyramide 10 uh 100 milligrams PO. No labs and images are needed. We plan to consult cardiology for AICD placement and we didn't but we did not get to discuss cardiac surgery but should be consulted for septal myectomy. Patient was briefed and asked if she had any questions for her care and agreed upon the treatment plan. Thank you so much.  ",At 2:05 I could not understand the first part of the sentence.,
Student 006,.mp3,Student 006.mp3,"Patient I am reviewing today is a 65 year old male named Leslie Palmer. He presented with shortness of breath and fatigue when exercising um he mentioned he had several episodes of near syncope. He went to his family medicine doctor where they ran multiple tests and he was recommended to come to the ER if he kept having these symptoms. He uh again had shortness of breath, near syncope. He was breathless and fatigued when he tried to exercise and his heart was beating out of his chest. When going over his past medical history he had hypertension which he was on 10 milligrams of lisinopril for um he had a cardiac cath a year ago eh due to an abnormal EKG. When discussing his family history he mentioned his mother died suddenly at 40 years old and his father was deceased at 59 from a myocardial infarction. Uh when discussing his social history he denied use of tobacco, alcohol, and illicit drugs. He had a balanced diet with fruits and vegetables, protein, uh he went for regular walks before his shortness of breath and he was a elementary school teacher and had a uh spouse of over 30 years. Um he had no known drug allergies. And when reviewing the uh systems he appeared fatigue and complained of fatigue. He had no fever or chills, no weight changes um either loss or gain. Uh no rashes, no bruises, no lesions on the skin. Um HEENT findings were negative. So no headache, no stiffness of the neck, no visual or uh um auditory difficulties. Um for cardiovascular he did have those palpitations and near syncope but no chest pain. Um he complained of wheezing and dyspnea but orthopnea was okay. Um when discussing MSK he had no muscle pain, no joint pain, and no edema in his lower extremity. He had no dizziness or confusion or gait changes. Um when reviewing the um the labs his troponin and BNP were normal and when looking at the chest Xray it displayed cardiomegaly with uh no edema or infiltrates. And when looking at the ECHO it was described as asymmetry because of a thickened septum. And with all of these findings we uh came to the conclusion that his hi- oh along with his vital signs being 110 for his pulse, 130/90 for his blood pressure, 96 oxygen and respirations were around 16. Um after reviewing everything, we came to the conclusion that this was um familial uh HOCM so hypertrophic um myocard hyo HOCM and um when we looked at everything we recommended seeing a cardiologist and a cardiothoracic surgeon for septal ablation or a some other sort of surgery uh with to treat the septum including the um AICD placement from the cardiologist. Um this was the conclusion of this patient.  ",,
Student 007,.mp3,Student 007.mp3,"Today I saw Dr. Or Mr. Leslie palmer he’s a 62 year old male. He came in complaining of shortness of breath and fatigue uh and has been progressing throughout the last 6 months with the last 3 days getting gradually worse uh and very severe today. He came to the emergency department at the recommendation of his primary care physician who suggested that he come. Um he is having dyspnea even at rest and has to sleep upright so orthopnea as well. Uh past medical history pertinent for atrial fibrillation, hypertension, dyslipidemia, and diabetes. Diabetes for the last 15 years, atrial fib for past 5. His surgical history is positive for a coronary artery bypass graft and a and 5 cardiac stents. He has maxed out on stents and the cardiologist indicated no further intervention. Family history for maternal, his mom has breast cancer and his dad paternal has uh Alzheimer's but he is still alive. As far as social history is positive for tobacco use he is a smoker for the past 30 years um no alcohol no drugs. He is employed and has a regular balanced diet and he used to exercise but is now unable to due to the shortness of breath and fatigue. And he lives with his spouse his wife. Current medications atorvastatin 10mg, clopidogrel 75 milligrams once a day, the atorvastatin was once a day, furosemide 20 milligrams twice a day, metoprolol succinate 50 milligrams once a day, lisinopril 10 milligrams once a day, metformin 500 twice a day, and warfarin 2.5 milligrams twice a day. He is compliant in all those medications. No known drug allergies. His review his review of symptoms is uh positive fatigue, weight gain, um shortness of breath so the dyspnea the orthopnea, he also has positive wheezing and lower extremity edema. He is awake, and alert, and orient times four but he is fatigued. Uh vitals today temperature 98.6 normal, heart rate 90 normal, uh respiratory rate 22 so a bit of tachypnea, resp or blood pressure 80/50 so very low blood blood pressure and oxygen saturation 86% so low. Uh jugular venous distention was present on physical exam but there were no carotid bruits. On auscultating his heart, I did hear a gallop but no murmur, no friction rub, and he did have tachycardia with a PMI pulse of maximal impulse displaced laterally. Lungs uh were positive for rales and wheezing but no chest wall tenderness. Um as far as his lower extremities I did auscultate or I did check his pulses those were full and equal. He did have some pedal edema but his calves were nontender and Homan sign negative. Imaging um we did chest x-ray results with cardiomegaly pulmonary edema. 2D echo with indicated dilated cardiomyopathy with ejection fraction less than 30. His EKG showed normal sinus rhythm but left bundle branch block. And his labs troponin was elevated at .04 and BNP was elevated at 4000. So I indicated that he's diagnosed with ischemic dilated cardiomyopathy. I did explain this to the patient. His new york heart association classification is 4 as he is unable to carry on physical activity even at rest. His disposition we should admit him to the ICU in serious condition check his vitals every 2 hours. I think he should be on strict bedrest and the nurses should strict ins and outs, daily weights, and check for DVT prophylaxis. I recommend a sodium low sodium diet and if we indicate fluids we should keep his vein open for now. Um as far as medication changes, I would like continue his warfarin and his clopidogrel but change all his other ones. Um add on disopyramide 100 milligrams once a day and change that metformin to an insulin sliding scale. Since his oxygen saturation is so low at 86 I would like to place him on BIPAP and uh order the labs serial troponin and PT/INR. For consultation, I'd like to consult interventional cardiology so that they can check for if he's a candidate for a pacemaker either AICD or CRT. Other than that we should get Mr. Palmer into the ICU and see if we can help um get his shortness of breath and fatigue figured out and get that oxygen saturation much higher. Alright thank you.  ",Couldn't understand at 1:53 when saying “orient”  ,
Student 008,.mp3,Student 008.mp3,"I met uh Mr. Leslie Palmer who's a 62 year old male um and presenting with episodic chest pain um sorry episodic near syncope associated with light headedness, palpitations, shortness of breath, um feeling raspy and wheezing for the past 2 weeks. Um he said symptoms get better with rest and describes it as severe in nature. Um episodes last 30 to 45 minutes. He denies any prior history of this um and says this new um in the past 2 weeks. Um his past medical history is significant for hypertension and he is currently on 10 milligrams of lisinopril for that um once a day. He has a history of a cardiac catheterization that came back normal um his family history was significant for his mother passing away at 40 from sudden what was predisposed to be sudden cardiac death. Um his father passed away at 69 from an MI. His review of systems was positive for um fatigue, lightheadedness, near syncope, palpitations, wheezing, and dyspnea. He denied any fever, chills, weight changes, skin changes, um any myalgias, joint pain, um chest pain, orthopnea, um no neck swelling, trouble swallowing um or anything of that nature. His vitals um his heart rate was elevated at 110 otherwise his vitals were normal. His oxygen was 96%. His respiratory rate was um 16. Blood pressure 130/90 um and his temperature was 98.6. Um on exam uh he had positive JVD. His cardiovascular exam was regular rate um no murmurs, rubs, or gallops noted. Um his PMI was displaced laterally um and we noted uh bibasilar rales and wheezing present. Um he had plus 1 pitting lower extremity edema but otherwise full DP PT pulses. Um no calf tenderness or Homan sign. Uh my assessment is that the patient was awake, fatigued, uh and oriented. Um and then going through his results um his chest x-ray showed cardiomegaly otherwise normal um 2D echo showed left ventricular asymmetry um with hypertrophy um EF of 60%. His EKG was normal sinus rhythm at 60 um that was the rate, with normal axis, um LVH criteria and peak R waves in septal leads. Um his troponin and BNP were both normal. Um and with this information I diagnosed the patient with familial hypertrophic cardiomyopathy. Um I gave him a class 2 New York Heart Association. Um and I gave him a secondary diagnosis of hypertension. Um I decided to admit him to telemetry. Uh his condition was serious at the time of admission. Uh I ordered vitals every 2 hours and activity as tolerated. For nursing orders, I added in a strict I O, uh daily weight, uh oxygen via nasal cannula 2 liters per minute um to maintain that sat of 96% or greater um in addition to DVT prophylaxis. For diet I ordered regular diet for him and then to keep the vein open for IV. Um and then as far as his medications goes I asked him to discontinue the lisinopril um and start the disopyramide at 100 milligrams PO. Um and for consults for this patient I um requested he be seen by interventional cardiology and cardiothoracic surgery um for potential AICD placement, septal myomectomy, and alcohol injection. Um and that is all I have for you today thank you so much for your time.  ",,
Student 009,.mp3,Student 009.mp3,"Pleasure of seeing Leslie Palmer a 62 year old female in the emergency department today. She complained of shortness of breath and fatigue for the last 2 months. Um with intermittent episodes of palpitations and feeling like she may pass out. She has orthopnea and must sleep in her recliner. She is limited in her ability to walk with her neighbors due to her symptoms. Her symptoms are relieved by rest. She is currently taking lisinopril 10 milligrams and prednisone 10 milligrams daily to treat hypertension and pulmonary sarcoidosis respectively. She was diagnosed with pulmonary sarcoidosis 25 years ago. She has no known drug allergies. One year ago she underwent heart ca- underwent heart catheterization which was negative. And she denies other surgeries or hospitalizations. Her family history is pertinent for a father who passed away at age 59 from a myocardial infarction and a mother who passed away unexpectedly at age 40 likely due to sudden cardiac death. She has a sister who has no medical conditions and is living. She eats a well balanced diet um does not use illicit drugs, tobacco products or alcohol. She consumes 1 cup of coffee a day. She’s an elementary school teacher. She lives at home with her husband. She has no children. She used to regularly walk with her neighbors before the onset of these symptoms . She denies fever, chills, or weight loss but endorses fatigue and an 8 pound weigh gain over the past 2 weeks. She denies any skin changes, such as rash, bruising, um lacerations. She denies any changes in her vision, uh changes in hearing, difficulty swallowing or headaches. She denies any gait disturbances or dizziness. She endorses lower extremity edema but denies joint or muscle pain. She denies chest pain but endorses palpitations and presyncopal sensations. She denies any syncopal episodes. She endorses shortness of breath, orthopnea and wheezing. She denies cough. Vital signs reveal that she is tachycardic at 110 beats per minute, hypertensive at 136/99, tachypneic at 20 respirations a minute. She is afebrile. And she is hypoxemic at 91%. Physical exam revealed um venous jugular venous distention pardon me, um no carotid bruits, she has a regular heart rhythm with a systolic murmur, and an S4 gallop, um. Pulmonary auscultation reveals bilateral rales. Lower edemity uhm um pardon me lower extremity plus 1 pitting edema is noted and normal pedal pulses are present. There is also no calf pain. Labs showed normal troponin levels and an elevated BNP at 4000. Chest xray shows pulmonary edema and pawnbroker’s sign suggestive of um sarcoidosis. Echocardiogram showed non-dilated ventricles with an increased ventricular wall thickness with an ejection fraction of 55%. Her EKG showed normal sinus rhythm at 100 beats per minute uh normal axis axis with um less than 30 second nonsustained ventricular tachycardia. Given her history of pulmonary sarcoidosis, I suspect she is having a restrictive cardiomyopathy due to cardiac infiltration of the sarcoidosis. She has a new york heart association class 3. Secondary diagnoses include hypertension and pulmonary sarcoidosis. I am admitting her to telemetry. I am continuing her lisinopril. I will be adding amiodarone 150 milligrams IV, increasing prednisone to 60 milligrams and adding furosemide 40 milligrams IV. I will order CMP labs and refer to interventional cardiology for an AICD placement and radiology for an FDG-PET scan. Thank you.  ",,
Student 010,.mp3,Student 010.mp3,"a 62 year old female presents with complaint of shortness of breath and fatigue. She was afebrile, tachycardic with a heartrate of 110, O2 sats of 91 which was low, pulse of 110, blood pressure 130/90, and respiratory rate of 20. Patient had previous viral infection approximately 2 weeks ago um and has continued to have heart palpitations, substernal dull chest pain, orthopnea, dyspnea, and shortness of breath at rest. Previous history positive high blood pressure and currently takes 10 milligrams of lisinopril once daily. Patient had previous visit to their PCP and they referred them to the ED for their symptoms. Patient has had muscle aches, joint pain, and weight gain of 8 pounds in the past 2 week. Um NYHA score 4 since they have experienced symptoms at rest. Um physical exam was positive for JVD but no carotid bruit bruits, regular heart sounds with no murmurs, PMI was displaced laterally but the chest wall was not tender. Bilateral rales and wheezing were auscultated. Lower extremity pitting edema was found but both pulses DP and PT were strong bilaterally. No calf tenderness was noted on physical exam. Negative family history for cardiac ifu issues. Father is currently living with Alzheimer’s in a home facility and the mother died of breast cancer at age 89. Patient does not use alcohol, tobacco products, but does drink 1 cup of coffee daily. They have a regular balanced diet and exercise consistently about 3 times a week. They have no known drug allergies and history of a cardiac cath 1 year ago. The troponin was elevated at 0.1 and BNP was elevated at 4000. Chest X ray was positive for pulmonary edema and cardiomegaly. ECHO showed dilated cardiomyopathy with a reduced ejection fraction of 30%. EKG was positive for PVCs, right bundle branch block, left axis, and sinus tach. This is consistent with myocarditis dilated cardiomyopathy. Um the patient will be admitted to telemetry, vitals q2 hours, and activity as tolerated. Um nursing orders to monitor ins and outs, daily weights, DVT prophylaxis prophylaxis, and start on O2 nasal cannula to maintain O2 sats above 96%. Diet is low sodium and fluid restriction. Keeping patient on lisinopril adding 625 milligrams acetaminophen by mouth q2 q6 hours and furosemide 40 milligrams IV. I ordered serial troponins, a CMP, and a repeat 2D echo. I also put in con-consults to interventional cardiology for AICD and CRTD placement and a cardiac biopsy. Um another consult to infectious disease for immunoglobulin and glucocorticoids. And a consult to radiology for immediate enhanced MRI to detect inflammation of the heart. Patient is expected to be admitted and discharged. Um they were instructed to maintain uh healthy weight and healthy lifestyle once discharged and activity once cleared by a cardiologist. ",,
